latitude,longitude
13.0774883,80.2406996
13.0794832,80.245762
13.0811755,80.2493366
13.0813108,80.2501415
13.081942,80.2533829
13.081408,80.2557733
13.0803371,80.2433976
13.0793799,80.24327
13.0858104,80.2511907
13.0857303,80.2517546
13.085663,80.2521622
13.0856072,80.2536732
13.0861152,80.2554842
13.0869856,80.2582889
13.0883726,80.2629632
13.090179,80.2652815
13.0793632,80.2439566
13.0790789,80.2407294
13.0790799,80.2395195
13.0560292,80.2490552
12.963531,80.2158831
12.9914386,80.2196271
13.0281827,80.2087146
13.0279006,80.2096588
13.0092589,80.2590552
13.0097576,80.2488098
13.0067416,80.2574993
13.0085671,80.2545017
13.0094942,80.2545417
13.0067192,80.2544138
13.0069825,80.2484212
13.0067672,80.2483802
13.0104792,80.2488856
13.0096136,80.2515709
13.0079023,80.2485467
13.0076457,80.2544436
13.0076289,80.2571153
13.0093316,80.2580029
13.0084174,80.2578652
13.0087548,80.2502472
13.0078359,80.2502004
13.009668,80.2502829
13.0091332,80.248722
13.0090432,80.2502629
13.0085486,80.2486514
13.0084631,80.2502396
13.006868,80.2514706
13.0077818,80.2515048
13.0086779,80.2515361
13.0111942,80.2528206
13.0068127,80.2574438
13.0092639,80.2589556
13.0084536,80.2569106
13.0103885,80.2522142
13.0095649,80.2526432
13.0095304,80.2536394
13.0106757,80.2533107
13.0064867,80.2526029
13.0065135,80.2546721
13.0067676,80.2577905
13.0087027,80.2591946
13.0079965,80.2592592
13.007651,80.2594277
13.0073191,80.2591237
13.0066539,80.2577917
13.0063909,80.2575913
13.0075262,80.258616
13.0073297,80.2597313
13.0065529,80.2574878
13.0125505,80.252595
13.0119081,80.2534076
13.0117976,80.2519922
13.0139569,80.2489637
13.0134549,80.2491952
13.0347122,80.2582824
13.0347358,80.2587504
13.0347216,80.2592991
13.0346969,80.2600563
13.0345551,80.2616242
13.0341932,80.2465964
13.0340436,80.2477852
13.0337733,80.2498701
13.0336688,80.2505582
13.0334734,80.2532236
13.0335451,80.2532792
13.033361,80.2562853
13.0334755,80.2547886
13.0333318,80.2581771
13.0333235,80.256884
13.0333737,80.259102
13.0330857,80.2604177
13.0332825,80.2600554
13.0331407,80.2637034
13.0331354,80.2621661
13.0312169,80.2515984
13.0311599,80.25311
13.031103,80.2543032
13.0308207,80.2577724
13.0307725,80.2587215
13.0308997,80.2566508
13.0316548,80.2602343
13.0307802,80.2594291
13.0307923,80.2601853
13.035474,80.2597945
13.0386858,80.2580752
13.035526,80.2588833
13.0333647,80.2586232
13.0347726,80.2578185
13.035951,80.2570564
13.0368212,80.2602055
13.0370013,80.2594296
13.0355382,80.2587979
13.0354473,80.2656971
13.036134,80.2657868
13.0357092,80.2625272
13.0355784,80.2638953
13.0355393,80.2648676
13.0334434,80.2640871
13.033841,80.2645866
13.0317924,80.2622475
13.0314327,80.2618537
13.0360459,80.2677514
13.0344749,80.2660611
13.0343333,80.2655469
13.0352378,80.2669774
13.0363113,80.2624481
13.037609,80.2639776
13.0374443,80.2631451
13.0370099,80.2667454
13.0338103,80.2622013
13.0342371,80.2622893
13.0357397,80.2602379
13.0357812,80.2618003
13.0343469,80.2646989
13.033926,80.2647002
13.0327146,80.2589606
13.0288224,80.25775
13.0314733,80.257749
13.033309,80.2578566
13.0313792,80.2596451
13.0314007,80.258932
13.0323432,80.2578055
13.0313774,80.26022
13.0333645,80.2589702
13.0323856,80.2589405
13.0281437,80.2538715
13.0258113,80.2574338
13.0257741,80.2580766
13.0289277,80.258822
13.0291336,80.2595459
13.0270672,80.2578915
13.0302498,80.2541844
13.0310574,80.2546468
13.03504,80.2548938
13.0278492,80.2602433
13.0276385,80.2579121
13.0263657,80.2576689
13.0263625,80.259729
13.0257598,80.2592658
13.0279725,80.2579145
13.0270949,80.2572099
13.0291167,80.2486157
13.0320012,80.2495232
13.0299335,80.2469502
13.0308532,80.2458395
13.0315979,80.2472224
13.0302163,80.247066
13.0325452,80.2516269
13.031519,80.2517978
13.0315765,80.2514797
13.0329217,80.2496849
13.0347592,80.2478789
13.0354617,80.247946
13.0355319,80.2467683
13.0353749,80.2494264
13.032961,80.2495095
13.0349645,80.2479033
13.0348085,80.249307
13.0320272,80.2494155
13.0306569,80.2511575
13.0299942,80.2481648
13.0346752,80.2510309
13.0347232,80.2501911
13.0347341,80.2506907
13.0338877,80.2535193
13.0345037,80.2478551
13.0343335,80.2492431
13.0315305,80.2453138
13.0305334,80.2447073
13.0335064,80.2515676
13.0341705,80.2514606
13.0276243,80.2451043
13.0283541,80.2426323
13.0279169,80.243708
13.0287937,80.2410473
13.0285924,80.2418079
13.0308211,80.2403322
13.0306526,80.2471372
13.0299985,80.2421736
13.0305146,80.2450784
13.0307879,80.2451382
13.0280652,80.2414697
13.0286462,80.2416149
13.0282033,80.2408817
13.026881,80.2435295
13.0285283,80.2420868
13.0285186,80.247099
13.0270077,80.2454557
13.0288691,80.2457492
13.0294014,80.2420246
13.0288709,80.2407443
13.0290483,80.2438657
13.0306104,80.2407691
13.0303976,80.2412356
13.0289811,80.2403401
13.0276802,80.2410703
13.0253132,80.2505979
13.0277956,80.2515395
13.0241281,80.2501257
13.0268064,80.2465215
13.0281804,80.248004
13.0281313,80.2483152
13.0278423,80.2490265
13.0252066,80.2530185
13.0252193,80.2546512
13.0246363,80.2546389
13.0240662,80.2546269
13.0245684,80.256796
13.0251475,80.2568442
13.0226815,80.2528218
13.0248798,80.2546342
13.0228746,80.2534251
13.0232715,80.2546133
13.0241448,80.256716
13.0250019,80.2578605
13.0264128,80.2542341
13.0263437,80.2564339
13.0270902,80.2560073
13.0271317,80.2543568
13.0258357,80.2541278
13.0257275,80.256851
13.0257781,80.254663
13.0260185,80.2533102
13.0286969,80.2463658
13.0283243,80.2463111
13.0373286,80.2503962
13.0258504,80.2484041
13.0284735,80.245714
